,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-02 13:00:00,BTCUSD,30,29430.0,29594.0,29429.5,29581.0,65197495,54.55642235335108,34.90623861055134,28305.855893416843,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 13:30:00,BTCUSD,30,29581.0,29692.5,29553.5,29692.5,76310686,73.42636574169228,42.610264036779526,28319.65334721369,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 14:00:00,BTCUSD,30,29692.5,29777.0,29570.0,29755.5,104281884,92.39938274689848,52.56808777880332,28333.9403785847,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 14:30:00,BTCUSD,30,29755.5,29839.0,29651.0,29814.0,61582144,110.87796435784912,64.23006309461248,28348.667339991818,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 15:00:00,BTCUSD,30,29814.0,29880.5,29782.5,29813.5,59862556,124.05203297773551,76.19445707123708,28363.242789345135,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 15:30:00,BTCUSD,30,29813.5,29913.5,29727.0,29850.0,67792324,135.8715792414332,88.1298815052763,28378.03639343125,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 16:00:00,BTCUSD,30,29850.0,29940.0,29797.0,29827.5,71410787,141.7886416504116,98.86163353430337,28392.458916879696,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 16:30:00,BTCUSD,30,29827.5,29927.0,29753.0,29927.0,47891424,152.7460137184098,109.63850957112466,28407.72798238338,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 17:00:00,BTCUSD,30,29927.0,29950.0,29765.5,29765.5,78884951,146.70696318800037,117.0522002944998,28421.2381517129,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 17:30:00,BTCUSD,30,29765.5,29965.0,29626.5,29686.5,155667388,134.00164481587854,120.44208919877555,28433.82782184511,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 18:00:00,BTCUSD,30,29686.5,29884.0,29556.0,29850.0,95765991,135.56298632129983,123.4662686232804,28447.919087299386,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 18:30:00,BTCUSD,30,29850.0,29860.0,29743.0,29743.0,35185537,126.70576970792536,124.11416884020939,28460.805464540186,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,BTCUSD,30,29743.0,29850.0,29713.0,29758.0,35438243,119.51899578339726,123.19513422884697,28473.71287285322,Bull,1,1.0,,0.0,0.0,0.0,0.0
2021-01-02 19:30:00,BTCUSD,30,29758.0,29846.0,29732.5,29840.0,23759219,119.06760315553765,122.36962801418511,28487.30776964075,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-02 20:00:00,BTCUSD,30,29840.0,30546.0,29833.5,30399.0,429120726,161.94964479290502,130.2856313699291,28506.329582878156,Bull,0,-1.0,,0.0,0.0,0.0,0.0
2021-01-02 20:30:00,BTCUSD,30,30399.0,30998.5,30288.5,30719.5,359848064,219.2680575310951,148.0821166021623,28528.351179068424,Bull,0,0.0,,0.0,0.0,0.0,0.0
