,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
2021-10-30 12:00:00,16035726,BTCUSDT,720,720,1635595200,1635595200,14571.894,61650.5,62277.5,60700.0,61894.5,896194665.8105
2021-10-31 00:00:00,16094765,BTCUSDT,720,720,1635638400,1635638400,15506.272,61894.5,62400.0,60350.0,60508.5,950864217.2515
2021-10-31 12:00:00,16153912,BTCUSDT,720,720,1635681600,1635681600,14276.713,60508.5,61645.5,60000.0,61338.0,867472501.32
2021-11-01 00:00:00,16212828,BTCUSDT,720,720,1635724800,1635724800,25955.468,61338.0,62536.5,59444.0,61862.5,1588919693.107
2021-11-01 12:00:00,16272367,BTCUSDT,720,720,1635768000,1635768000,15578.061,61862.5,62200.0,60325.0,60949.5,953615746.5095
2021-11-02 00:00:00,16333954,BTCUSDT,720,720,1635811200,1635811200,20231.225,60949.5,63652.0,60667.0,62990.5,1256902039.011
2021-11-02 12:00:00,16395334,BTCUSDT,720,720,1635854400,1635854400,20072.859,62990.5,64258.5,62700.0,63258.0,1273576720.5755
2021-11-03 00:00:00,16456867,BTCUSDT,720,720,1635897600,1635897600,13552.795,63258.0,63600.0,62802.0,63167.0,855746173.151
2021-11-03 12:00:00,16518248,BTCUSDT,720,720,1635940800,1635940800,28528.936,63167.0,63448.5,60077.0,62961.5,1778230583.4215
2021-11-04 00:00:00,16579528,BTCUSDT,720,720,1635984000,1635984000,16069.106,62961.5,63120.0,61300.0,61514.0,998852943.4065
2021-11-04 12:00:00,16641004,BTCUSDT,720,720,1636027200,1636027200,16524.204,61514.0,62392.5,60628.0,61440.5,1014508128.1415
2021-11-05 00:00:00,16702346,BTCUSDT,720,720,1636070400,1636070400,15173.427,61440.5,62643.5,60898.0,61320.0,938624895.311
2021-11-05 12:00:00,16763843,BTCUSDT,720,720,1636113600,1636113600,10268.284,61320.0,61961.0,60764.0,61045.0,628762452.834
2021-11-06 00:00:00,16825494,BTCUSDT,720,720,1636156800,1636156800,11496.211,61045.0,61600.0,60188.0,60412.0,700413239.192
